model,t_abs,L,rank,lambda_exact,lambda_fv_fine,lambda_fem_fine,kx,ky,multiplicity
kk_interval_dirichlet,0.001,24.0,8,1.0966227112321507,1.0965792157787178,1.0966662080653506,8,0,1
kk_interval_dirichlet,0.001,24.0,9,1.387913118903191,1.3878434478908162,1.3879827927132014,9,0,1
kk_interval_dirichlet,0.001,24.0,10,1.713472986300236,1.7133667971762634,1.713579180688454,10,0,1
kk_interval_dirichlet,0.001,24.0,11,2.073302313423285,2.073146842736378,2.0734577934364657,11,0,1
kk_interval_dirichlet,0.001,24.0,12,2.4674011002723395,2.4671809089069257,2.467621307357441,12,0,1
kk_interval_dirichlet,0.001,24.0,13,2.895769346847399,2.8954660652785833,2.896072653826886,13,0,1
kk_interval_dirichlet,0.001,24.0,14,3.3584070531484618,3.357999126718937,3.358815019217587,14,0,1
kk_interval_dirichlet,0.001,24.0,15,3.8553142191755296,3.854776653394481,3.85585184492159,15,0,1
kk_interval_dirichlet,0.001,24.0,16,4.386490844928603,4.385794950799266,4.387186827378818,16,0,1
kk_interval_dirichlet,0.001,24.0,17,4.951936930407682,4.951050069779967,4.952823918102112,17,0,1
kk_interval_dirichlet,0.001,24.0,18,5.551652475612764,5.550537806565558,5.552767323706855,18,0,1
kk_interval_dirichlet,0.001,24.0,19,6.18563748054385,6.184253702799538,6.187021505943161,19,0,1
kk_interval_dirichlet,0.001,24.0,20,6.853891945200944,6.852193045571653,6.855591181727521,20,0,1
kk_interval_dirichlet,0.001,24.0,21,7.55641586958404,7.55435086745473,7.558481323179586,21,0,1
kk_interval_dirichlet,0.001,24.0,22,8.29320925369314,8.290721946540486,8.29569715765788,22,0,1
kk_interval_dirichlet,0.001,24.0,23,9.064272097528246,9.061300806477902,9.067244167798085,23,0,1
kk_interval_dirichlet,0.001,24.0,24,9.869604401089358,9.866081716515168,9.873128091554873,24,0,1
kk_interval_dirichlet,0.001,24.0,25,9.88673913095236,9.883216435759152,9.890262832037209,1,1,1
kk_interval_dirichlet,0.001,24.0,26,9.938143320541368,9.934620466060494,9.941667180913818,2,1,1
kk_interval_dirichlet,0.001,24.0,27,10.023816969856378,10.020293425130944,10.0273415204771,3,1,1
kk_interval_dirichlet,0.001,24.0,28,10.143760078897396,10.140234675825127,10.147286487882749,4,1,1
kk_interval_dirichlet,0.001,24.0,29,10.297972647664418,10.294443326146677,10.301502975155904,5,1,1
kk_interval_dirichlet,0.001,24.0,30,10.486454676157443,10.48291822925438,10.489992129197283,6,1,1
kk_interval_dirichlet,0.0001,30.0,1,0.010966227112321508,0.010966222762760935,0.010966231461989603,1,0,1
kk_interval_dirichlet,0.0001,30.0,2,0.04386490844928603,0.04386483885548387,0.04386497804314252,2,0,1
kk_interval_dirichlet,0.0001,30.0,3,0.09869604401089357,0.09869569169251236,0.09869639633003431,3,0,1
kk_interval_dirichlet,0.0001,30.0,4,0.17545963379714413,0.17545852029860498,0.17546074730114347,4,0,1
kk_interval_dirichlet,0.0001,30.0,5,0.2741556778080377,0.27415295930995853,0.2741583963278747,5,0,1
kk_interval_dirichlet,0.0001,30.0,6,0.3947841760435743,0.3947785389757428,0.3947898131760935,6,0,1
kk_interval_dirichlet,0.0001,30.0,7,0.5373451285037539,0.53733468516117,0.5373555720091956,7,0,1
kk_interval_dirichlet,0.0001,30.0,8,0.7018385351885765,0.7018207193490298,0.7018563513896413,8,0,1
kk_interval_dirichlet,0.0001,30.0,9,0.8882643960980422,0.8882358586453165,0.8882929342845824,9,0,1
kk_interval_dirichlet,0.0001,30.0,10,1.0966227112321507,1.0965792157787178,1.0966662080653506,10,0,1
kk_interval_dirichlet,0.0001,30.0,11,1.3269134805909022,1.326849799109823,1.3269771645166635,11,0,1
kk_interval_dirichlet,0.0001,30.0,12,1.5791367041742972,1.5790465126321465,1.5792268998376473,12,0,1
kk_interval_dirichlet,0.0001,30.0,13,1.8532923819823355,1.853168155978267,1.8534166146479736,13,0,1
kk_interval_dirichlet,0.0001,30.0,14,2.1493805140150157,2.149213424426989,2.149547613995019,14,0,1
kk_interval_dirichlet,0.0001,30.0,15,2.4674011002723386,2.4671809089069257,2.467621307357441,15,0,1
kk_interval_dirichlet,0.0001,30.0,16,2.807354140754306,2.807069096006728,2.8076392086554085,16,0,1
kk_interval_dirichlet,0.0001,30.0,17,3.1692396354609165,3.168876367978669,3.169602936254173,17,0,1
kk_interval_dirichlet,0.0001,30.0,18,3.553057584392169,3.5526010027488724,3.553514212974299,18,0,1
kk_interval_dirichlet,0.0001,30.0,19,3.9588079875480644,3.9582411739234544,3.9593748660977877,19,0,1
kk_interval_dirichlet,0.0001,30.0,20,4.386490844928603,4.385794950799266,4.387186827378818,20,0,1
kk_interval_dirichlet,0.0001,30.0,21,4.836106156533785,4.835260298372589,4.836952133052426,21,0,1
kk_interval_dirichlet,0.0001,30.0,22,5.307653922363609,5.306635077347323,5.308672923842682,22,0,1
kk_interval_dirichlet,0.0001,30.0,23,5.801134142418078,5.799917044146753,5.802351444974432,23,0,1
