model,t_abs,x,u1
cheeger_tunneling,0.001,-1.205,-0.5774209534954942
cheeger_tunneling,0.001,-1.2,-0.5774148912247524
cheeger_tunneling,0.001,-1.1949999999999998,-0.5774087909674496
cheeger_tunneling,0.001,-1.19,-0.577402652723987
cheeger_tunneling,0.001,-1.185,-0.577396476494769
cheeger_tunneling,0.001,-1.18,-0.5773902622802015
cheeger_tunneling,0.001,-1.1749999999999998,-0.5773840100806933
cheeger_tunneling,0.001,-1.17,-0.5773777198966559
cheeger_tunneling,0.001,-1.165,-0.5773713917285027
cheeger_tunneling,0.001,-1.1600000000000001,-0.5773650255766506
cheeger_tunneling,0.001,-1.155,-0.5773586214415181
cheeger_tunneling,0.001,-1.15,-0.5773521793235264
cheeger_tunneling,0.001,-1.145,-0.5773456992230996
cheeger_tunneling,0.001,-1.1400000000000001,-0.577339181140664
cheeger_tunneling,0.001,-1.135,-0.5773326250766482
cheeger_tunneling,0.001,-1.13,-0.5773260310314834
cheeger_tunneling,0.001,-1.125,-0.5773193990056038
cheeger_tunneling,0.001,-1.12,-0.5773127289994453
cheeger_tunneling,0.001,-1.115,-0.5773060210134471
cheeger_tunneling,0.001,-1.1099999999999999,-0.57729927504805
cheeger_tunneling,0.001,-1.105,-0.5772924911036983
cheeger_tunneling,0.001,-1.1,-0.5772856691808379
cheeger_tunneling,0.001,-1.095,-0.5772788092799178
cheeger_tunneling,0.001,-1.0899999999999999,-0.5772719114013892
cheeger_tunneling,0.001,-1.085,-0.5772649755457063
cheeger_tunneling,0.001,-1.08,-0.5772580017133248
cheeger_tunneling,0.001,-1.075,-0.5772509899047038
cheeger_tunneling,0.001,-1.0699999999999998,-0.5772439401203044
cheeger_tunneling,0.001,-1.065,-0.5772368523605906
cheeger_tunneling,0.001,-1.06,-0.5772297266260287
cheeger_tunneling,0.001,-1.055,-0.5772225629170873
cheeger_tunneling,0.001,-1.0499999999999998,-0.5772153612342378
cheeger_tunneling,0.001,-1.045,-0.5772081215779539
cheeger_tunneling,0.001,-1.04,-0.5772008439487119
cheeger_tunneling,0.001,-1.0350000000000001,-0.5771935283469908
cheeger_tunneling,0.001,-1.03,-0.5771861747732716
cheeger_tunneling,0.001,-1.025,-0.5771787832280381
cheeger_tunneling,0.001,-1.02,-0.5771713537117767
cheeger_tunneling,0.001,-1.0150000000000001,-0.5771638862249759
cheeger_tunneling,0.001,-1.01,-0.5771563807681271
cheeger_tunneling,0.001,-1.005,-0.5771488373417243
cheeger_tunneling,0.001,-1.0,-0.5771412559462639
cheeger_tunneling,0.001,-0.9949999999999999,-0.5771336365822438
cheeger_tunneling,0.001,-0.99,-0.5771259792501657
cheeger_tunneling,0.001,-0.9849999999999999,-0.5771182839505338
cheeger_tunneling,0.001,-0.98,-0.5771105506838536
cheeger_tunneling,0.001,-0.9750000000000001,-0.5771027794506348
cheeger_tunneling,0.001,-0.97,-0.5770949702513878
cheeger_tunneling,0.001,-0.9650000000000001,-0.5770871230866267
cheeger_tunneling,0.001,-0.96,-0.5770792379568677
cheeger_tunneling,0.001,-0.9550000000000001,-0.5770713148626294
cheeger_tunneling,0.001,-0.95,-0.5770633538044332
cheeger_tunneling,0.001,-0.9450000000000001,-0.5770553547828028
cheeger_tunneling,0.001,-0.94,-0.5770473177982643
cheeger_tunneling,0.001,-0.935,-0.5770392428513468
cheeger_tunneling,0.001,-0.9299999999999999,-0.5770311299425813
cheeger_tunneling,0.001,-0.925,-0.5770229790725014
cheeger_tunneling,0.001,-0.9199999999999999,-0.5770147902416437
cheeger_tunneling,0.001,-0.915,-0.5770065634505466
cheeger_tunneling,0.001,-0.9099999999999999,-0.576998298699751
cheeger_tunneling,0.001,-0.905,-0.5769899959898013
cheeger_tunneling,0.001,-0.8999999999999999,-0.5769816553212433
cheeger_tunneling,0.001,-0.895,-0.576973276694626
cheeger_tunneling,0.001,-0.8899999999999999,-0.5769648601105002
cheeger_tunneling,0.001,-0.885,-0.5769564055694202
cheeger_tunneling,0.001,-0.8799999999999999,-0.5769479130719414
cheeger_tunneling,0.001,-0.875,-0.5769393826186233
cheeger_tunneling,0.001,-0.8699999999999999,-0.5769308142100266
cheeger_tunneling,0.001,-0.865,-0.5769222078467151
cheeger_tunneling,0.001,-0.8599999999999999,-0.576913563529255
cheeger_tunneling,0.001,-0.855,-0.5769048812582152
cheeger_tunneling,0.001,-0.8499999999999999,-0.5768961610341665
cheeger_tunneling,0.001,-0.845,-0.5768874028576829
cheeger_tunneling,0.001,-0.8400000000000001,-0.5768786067293404
cheeger_tunneling,0.001,-0.835,-0.5768697726497178
cheeger_tunneling,0.001,-0.8300000000000001,-0.5768609006193959
cheeger_tunneling,0.001,-0.825,-0.5768519906389588
cheeger_tunneling,0.001,-0.8200000000000001,-0.5768430427089923
cheeger_tunneling,0.001,-0.815,-0.5768340568300854
cheeger_tunneling,0.001,-0.81,-0.5768250330028292
cheeger_tunneling,0.001,-0.8049999999999999,-0.5768159712278174
cheeger_tunneling,0.001,-0.8,-0.5768068715056458
cheeger_tunneling,0.001,-0.7949999999999999,-0.5767977338369131
cheeger_tunneling,0.001,-0.79,-0.5767885582222211
cheeger_tunneling,0.001,-0.7849999999999999,-0.576779344662173
cheeger_tunneling,0.001,-0.78,-0.5767700931573745
cheeger_tunneling,0.001,-0.7749999999999999,-0.5767608037084349
cheeger_tunneling,0.001,-0.77,-0.5767514763159647
cheeger_tunneling,0.001,-0.7649999999999999,-0.576742110980578
cheeger_tunneling,0.001,-0.76,-0.5767327077028909
cheeger_tunneling,0.001,-0.7549999999999999,-0.5767232664835218
cheeger_tunneling,0.001,-0.75,-0.576713787323092
cheeger_tunneling,0.001,-0.7449999999999999,-0.5767042225408942
cheeger_tunneling,0.001,-0.74,-0.5766945226206897
cheeger_tunneling,0.001,-0.7349999999999999,-0.576684685182629
cheeger_tunneling,0.001,-0.73,-0.5766747077729495
cheeger_tunneling,0.001,-0.7249999999999999,-0.5766645878608835
cheeger_tunneling,0.001,-0.72,-0.5766543228354021
cheeger_tunneling,0.001,-0.7150000000000001,-0.5766439100017854
cheeger_tunneling,0.001,-0.71,-0.576633346578006
cheeger_tunneling,0.001,-0.7050000000000001,-0.5766226296909176
cheeger_tunneling,0.001,-0.7,-0.5766117563722322
cheeger_tunneling,0.001,-0.6950000000000001,-0.5766007235542705
cheeger_tunneling,0.001,-0.69,-0.5765895280654771
cheeger_tunneling,0.001,-0.685,-0.5765781666256757
cheeger_tunneling,0.001,-0.6799999999999999,-0.5765666358410523
cheeger_tunneling,0.001,-0.675,-0.5765549321988441
cheeger_tunneling,0.001,-0.6699999999999999,-0.5765430520617165
cheeger_tunneling,0.001,-0.665,-0.5765309916618013
cheeger_tunneling,0.001,-0.6599999999999999,-0.5765187470943768
cheeger_tunneling,0.001,-0.655,-0.5765063143111578
cheeger_tunneling,0.001,-0.6499999999999999,-0.576493689113171
cheeger_tunneling,0.001,-0.645,-0.5764808671431834
cheeger_tunneling,0.001,-0.6399999999999999,-0.5764678438776464
cheeger_tunneling,0.001,-0.635,-0.5764546146181247
cheeger_tunneling,0.001,-0.6299999999999999,-0.5764411744821634
cheeger_tunneling,0.001,-0.625,-0.5764275183935477
cheeger_tunneling,0.001,-0.6199999999999999,-0.5764136410719196
cheeger_tunneling,0.001,-0.615,-0.5763995370216776
cheeger_tunneling,0.001,-0.6099999999999999,-0.57638520052012
cheeger_tunneling,0.001,-0.605,-0.5763706256047577
cheeger_tunneling,0.001,-0.5999999999999999,-0.5763558060597263
cheeger_tunneling,0.001,-0.595,-0.5763407354012263
cheeger_tunneling,0.001,-0.5900000000000001,-0.5763254068618975
cheeger_tunneling,0.001,-0.585,-0.5763098133740424
cheeger_tunneling,0.001,-0.5800000000000001,-0.5762939475515857
cheeger_tunneling,0.001,-0.575,-0.5762778016706624
